用户ID,服务ID,时间,行为,title,内容
Steven,Stack Overflow,2017-03-13 21:26:01Z,comment,Is it ok to use IKernel in Controllers?,"Note that if your controllers have a large set of dependencies, where each action has its own <i>set</i> of dependencies that is not used by other actions, it means that the methods in the controller have <i>low cohesion</i> and this is an indication of a <b>Single Responsibility Principle</b> violation. In that case it might be better to split your Controller into multiple smaller controllers."
Steven,Stack Overflow,2017-03-10 18:36:21Z,comment,Unity IoC - specify assembly search path,"&quot;and let the unity container dynamically loads the assemblies from there.&quot;. This will be horror unless you make a local copy first, because once an assembly is loaded, the file is locked until <i>all</i> applications are closed. Otherwise you&#39;ll find yourself in a situation where you&#39;ll be unable to update the assemblies and have to ask request all users to close their application (which you can&#39;t because of that single user that just locked his computer and went on holliday)."
Steven,Stack Overflow,2017-03-08 10:55:15Z,comment,Ninject SingetonScope doesn&#39;t work,&quot;However for some classes it seems to completely ignore the singleton&quot;. Please show those classes.
Steven,Stack Overflow,2017-03-03 07:39:33Z,comment,.NET Core Dependency Injection - Multiple Projects,"Typically, <a href=""http://blog.ploeh.dk/2011/07/28/CompositionRoot/"" rel=""nofollow noreferrer"">Composition Roots</a> should <a href=""http://blog.ploeh.dk/2015/01/06/composition-root-reuse/"" rel=""nofollow noreferrer"">not be reused</a>."
Steven,Stack Overflow,2017-03-01 15:48:38Z,comment,convert autofac to simple injector : named instance - WithParameter,Where and how is this &quot;snt_cache_per_request&quot; registration used? Is it important for you or can it be removed? What other registratin is using it?
Steven,Stack Overflow,2017-03-13 21:23:19Z,comment,Is it ok to use IKernel in Controllers?,"The Controllers are <i>not</i> in the application&#39;s entry point. Controllers live in your UI layer, which is a different layer than your application&#39;s entry point. You can find a more thorough explanation about this <a href=""https://stackoverflow.com/a/9505530/264697"">here</a>."
Steven,Stack Overflow,2017-03-10 11:07:35Z,comment,How to resolve class with constructor that has List&lt;T&gt; parameter?,"It seems to me you are abusing your DI container to build up object graphs of objects containing runtime state. That&#39;s not where DI container&#39;s are meant for. Their job is to build up object graphs of application components. Components are the classes that contain the application&#39;s behavior, not the data."
Steven,Stack Overflow,2017-03-08 09:48:17Z,comment,DI in .NET Core without ASP.NET Core,"&quot;The only downside to the DI is that you need to set it up at the startup of your application and cannot add new services while running your application&quot;. I would say this is not a downside at all, since <a href=""https://stackoverflow.com/a/42562452/264697"">Register-Resolve-Register is an anti-pattern</a>."
Steven,Stack Overflow,2017-03-03 05:58:18Z,comment,Can DbContext be composed instead of inherited?,"If your intention is to hide DbContext from the rest of the application, you can do both inheritance and composition."
Steven,Stack Overflow,2017-03-01 06:45:57Z,comment,Simple Injector Prevent Locked Container,"Hi Dan, I can&#39;t really help you here, because I have too little information to go with. As I said, more information is needed (show code, what is this INamedInrtanceFactory, what dependencies does it have, what&#39;s the association with the string and concrete type and why is it important here. Show cod)"
