用户ID,服务ID,时间,行为,内容
Paul,Youtube,"Published on Jan 27, 2015",like,dance cat Michael Jackson
Paul,Youtube,"Published on Apr 29, 2016",like,Luke Is All By Himself (Star Wars - The Force Awakens - Alternate Ending Parody)
Paul,Youtube,"Uploaded on Mar 26, 2009",like,"Secret of piggy back ride , Siberian Husky Hana"
Paul,Youtube,"Published on Dec 28, 2015",like,Hammock Pug
Paul,Youtube,"Published on Nov 20, 2015",like,Cat Goes Sledding Down Hill
Paul,Youtube,"Published on Nov 16, 2015",like,Mo&#39;nique Exercises To Missy Elliott&#39;s WTF
Paul,Youtube,"Published on Feb 9, 2016",like,Formation - @Beyonce - Choreography by @WilldaBeast__ | Filmed by @TimMilgram #Formation
Paul,Youtube,"Published on Dec 16, 2015",like,Laika Shovelling the Sidewalk
Paul,Youtube,"Published on Jun 24, 2013",like,Rosinha De Valencia - Summertime
Paul,Youtube,"Uploaded on Oct 14, 2011",like,Airplane - Lunar Station Alpha Beta
Paul,Youtube,"Published on Feb 1, 2014",like,"Oops, Sorry - Spye"
Paul,Youtube,"Uploaded on Feb 19, 2010",like,Introducing Bengal cat to a new kitten for first time
Paul,Youtube,"Published on Jan 11, 2017",like,Apple AirPods: The Right Way to Pop Them Out of the Case
Paul,Youtube,"Published on Sep 5, 2015",like,Mochi the Cat Meets BB8 from Star Wars: The Force Awakens
Paul,Youtube,"Published on Feb 28, 2016",like,Deleted Scene from &quot;Batman v Superman” Starring Jimmy Kimmel
Paul,Youtube,"Published on Oct 21, 2016",like,Showreel for One Word or Less Parts - Marek Larwood
Paul,Youtube,"Uploaded on Jul 3, 2011",like,Beyonce feat. Angie Jordan 30 Rock - Run the World (Ham)
Paul,Youtube,"Published on Oct 18, 2015",like,My cat went to the neighbours to borrow a tiger plush toy :)
Paul,Youtube,"Published on Oct 30, 2015",like,Two guinea pigs on the merits of pumpkin spice - FLUFF
Paul,Youtube,"Published on Dec 8, 2015",like,Puppy&#39;s First Experience With A Hose
Paul,Youtube,"Published on Nov 29, 2015",like,Peter Jackson confirms - He&#39;s directing an episode of Doctor Who!
Paul,Youtube,"Published on Oct 10, 2015",like,Soylent Infomercial (Fan Made)
Paul,Youtube,"Uploaded on Jun 25, 2011",like,Loose Seal
Paul,Youtube,"Published on Nov 25, 2015",like,Me and my cats meet a wild fox. Real life Disney moment!
Paul,Youtube,"Published on Oct 14, 2014",like,OK Go - Upside Down &amp; Inside Out
Paul,Youtube,"Uploaded on Jul 19, 2010",like,Cat Head Butting Long Haired Chihuahua dog- Dog plays dead for cat
Paul,Youtube,"Published on Nov 24, 2015",like,This Young Kangaroo Loves Her Pouch!
Paul,Youtube,"Uploaded on Nov 18, 2009",like,5 Poofs and 2 Pianos by Tim Minchin
Paul,Youtube,"Published on Oct 18, 2015",like,sqeaking kitty
Paul,Youtube,"Uploaded on May 2, 2009",like,QUANTUM OF SOLACE - PROPOSED THEME SONG
Paul,Youtube,"Published on Mar 28, 2013",like,Thank You God - Tim Minchin
Paul,Youtube,"Uploaded on May 20, 2007",like,Alan Partridge Steve Coogan- DAN!
Paul,Youtube,"Published on Jan 14, 2016",like,Soylent! Never Eat Again (Sketch Comedy)
Paul,Youtube,"Published on Jun 27, 2014",like,How to do the Steve Martin | Hip Hop Club Dance Moves
Paul,Youtube,"Published on Jul 5, 2015",like,Nicole Paris (Mentor vs Apprentice Pt. 2)
Paul,Youtube,"Published on Nov 16, 2015",like,Cat Meows When Kissed
Paul,Youtube,"Published on Aug 17, 2011",like,How to Do the Steve Martin
Paul,Youtube,"Published on Jul 7, 2016",like,Sex &amp; the Price of Masculinity - A Personal Story about Consent Violation
Paul,Youtube,"Published on Dec 14, 2012",like,Bane: Dark Knight Rises vs. Batman &amp; Robin
Paul,Youtube,"Published on Aug 9, 2015",like,How to change the font size on Microsoft Word
Paul,Youtube,"Published on Nov 23, 2015",like,Pomeranian Quietly Barks
Paul,Youtube,"Published on Dec 3, 2013",like,Captain Picard sings &quot;Let it Snow!&quot;
Paul,Youtube,"Published on Jan 14, 2013",like,Pug and Cat cuddling
Paul,Youtube,"Published on Apr 30, 2016",like,Long day at the office for Jazzy the Shih tzu
Paul,Youtube,"Published on Jan 1, 2015",like,Pug cuddle
Paul,Youtube,"Published on Dec 21, 2015",like,Yoda - Rocking and Rollin feat. Yoda (Official Music Video)
Paul,Youtube,"Uploaded on Oct 2, 2011",like,Pug puppy cuddling Rottweiler (Batman and Hades)
Paul,Youtube,"Published on Jan 26, 2016",like,Cat Tries Pottery Wheel
Paul,Youtube,"Published on Jan 18, 2016",like,Dad experiments with dog&#39;s tail
Paul,Youtube,"Published on Jan 23, 2016",like,Dog Meets Snow
Paul,Youtube,"Published on Jun 17, 2015",like,Frozen Lullaby by Garfunkel and Oates
Paul,Youtube,"Published on Apr 15, 2015",like,"Princess Leia the Mini Dachshund in &quot;Yes, I dropped my ball - on purpose!&quot;"
Paul,Youtube,"Uploaded on Jul 19, 2008",like,Only Amiga Makes It Possible
Paul,Youtube,"Published on Aug 24, 2014",like,Star Trek: Deep Space Nine Ambient Sound for 12 Hours
Paul,Youtube,"Published on Sep 4, 2014",like,Sky News Scotland Megamix
Paul,Youtube,"Uploaded on Sep 20, 2007",like,Pug swimming in Pool
Paul,Youtube,"Published on Jan 13, 2014",like,Kitty Cleaning Toddler
Paul,Youtube,"Published on Oct 27, 2014",like,Focused kitty is focused
Paul,Youtube,"Uploaded on Jan 18, 2011",like,The Crazy Nastyass Honey Badger (original narration by Randall)
Paul,Youtube,"Published on Jun 11, 2014",like,QI - No Such Thing As A Fish
Paul,Youtube,"Published on Mar 1, 2015",like,Watch How This Pug Loves to Take A Bath
Paul,Youtube,"Published on Nov 8, 2014",like,Timo the Cat spending his day in bed (lying like a human)
Paul,Youtube,"Published on Aug 23, 2013",like,Gotcha! (Попался!)
Paul,Youtube,"Published on Mar 9, 2015",like,Yorkshire Terrier Misty Tucks in Her Mate
Paul,Youtube,"Published on Nov 1, 2014",like,The blues dog
Paul,Youtube,"Published on Sep 9, 2014",like,"Timo playing in the bathroom, cute!"
Paul,Youtube,"Uploaded on Jan 13, 2011",like,Dance with Tim Boddy.mov
Paul,Youtube,"Uploaded on Apr 16, 2011",like,Morris - First Night 04
Paul,Youtube,"Uploaded on Jan 22, 2012",like,Hilarious Pug&#39;s Reaction to Action Movie
Paul,Youtube,"Published on Oct 31, 2014",like,Wolverine does Beyoncé
Paul,Youtube,"Uploaded on Jul 16, 2011",like,Morris vs Squeaky Toy Tyre - Week 04
Paul,Youtube,"Uploaded on Feb 3, 2009",like,Overprotective Pug - Funny!
Paul,Youtube,"Published on Jul 30, 2014",like,Paranormal Pugtivity
Paul,Youtube,"Published on Apr 21, 2013",like,American Psycho with Huey Lewis and Weird Al
Paul,Youtube,"Published on Jun 21, 2012",like,Kitten Wants Attention
Paul,Youtube,"Published on Jul 23, 2014",like,Consumer Solutions with Nicholas &amp; Carmen - Diet Cola
Paul,Youtube,"Published on Jun 9, 2015",like,Viivi &amp; ham wake up
Paul,Youtube,"Published on Nov 6, 2014",like,Pug - Mr. Sandman
Paul,Youtube,"Published on Jun 30, 2014",like,Consumer Solutions with Nicholas &amp; Carmen - Sausage Rolls
Paul,Youtube,"Published on Sep 3, 2014",like,Maggie wants attention!
Paul,Youtube,"Uploaded on Jul 28, 2011",like,Neighbours - Bouncer&#39;s Dream ( Scene from Episode 1254 )
Paul,Youtube,"Uploaded on Feb 20, 2012",like,Kitten Mittens
Paul,Youtube,"Published on Oct 9, 2014",like,Dog hates harmonica
Paul,Youtube,"Published on May 12, 2014",like,The Incredible Dog Shrinking Machine (tm)
Paul,Youtube,"Published on Jan 26, 2015",like,3 Week Old Boxer Puppy Howling
Paul,Youtube,"Published on Jun 27, 2014",like,Consumer Solutions with Nicholas &amp; Carmen - Pies
Paul,Youtube,"Published on Aug 17, 2014",like,Little Yorkie petting his human
Paul,Youtube,"Published on May 12, 2015",like,Brody the AMAZING talking dog!
Paul,Youtube,"Published on Aug 27, 2014",like,Peter Capaldi running to Doctor Who Theme Music Remix
Paul,Youtube,"Uploaded on Sep 27, 2011",like,Vaappu goes bananas part 1
Paul,Youtube,"Published on Nov 4, 2014",like,Pug does his best impression of a Diesel Engine
Paul,Youtube,"Published on Jun 16, 2014",like,Dogs Arse Cigarettes
Paul,Youtube,"Published on Aug 26, 2014",like,Oh! it&#39;s just me! / Фух! Это всего лишь я!
Paul,Youtube,"Published on Sep 9, 2014",like,Boston terrier impersonates a goat and a dolphin
Paul,Youtube,"Published on Oct 14, 2013",like,EBS KRUMP WORLD CHAMPIONSHIP - RUIN (USA) VS MONSTA NY AKA GRICHKA (France) - www.ebs-krump.net
Paul,Youtube,"Uploaded on Jul 1, 2009",like,16 Pug Puppies!
Paul,Youtube,"Uploaded on Jan 26, 2009",like,Worst Contestant on BBC Radio 2 PopMaster Quiz On Ken Bruce Show
Paul,Youtube,"Uploaded on Jan 7, 2012",like,Oh My God Becky Look at her BUTT! for 5 minutes
Paul,Youtube,"Published on Sep 8, 2014",like,Determined kitten tries to get Dalmatian&#39;s attention
Paul,Youtube,"Published on Mar 7, 2012",like,16 Pug Puppies! (Now Vertical!)
Paul,Youtube,"Published on Jun 3, 2013",like,"Oh My God, Becky, Look At Her Butt! (5 minutes and 28 seconds worth!!)"
Paul,Youtube,"Published on May 29, 2014",like,"Kitten Jam - Turn Down For What Video (cute, funny cats/kittens dancing) (ORIGINAL)"
Paul,Youtube,"Uploaded on Apr 5, 2011",like,Worf gets DENIED again and again on Star Trek TNG.
Paul,Youtube,"Uploaded on Dec 8, 2011",like,8bit Fail Whale
Paul,Youtube,"Published on Jun 8, 2012",like,Knightmare Series 4 Episode 16
Paul,Youtube,"Uploaded on Jun 14, 2006",like,vin diesel break dancing
Paul,Youtube,"Published on Sep 5, 2013",like,Gameboy Camera Who are you running from and dont be so silly screen
Paul,Youtube,"Published on Jul 16, 2011",like,Humpback Whale Shows AMAZING Appreciation After Being Freed From Nets
Paul,Youtube,"Uploaded on Jan 19, 2012",like,Ligers - What to Lose
Paul,Youtube,"Uploaded on Apr 17, 2009",like,SUSAN BOYLE  ☆ CRY ME A RIVER ☆
Paul,Youtube,"Published on Apr 27, 2012",like,Jeremiah Marques - Gypsy Woman
