用户ID,服务ID,时间,行为,内容
Paul,Youtube,"Published on May 22, 2012",Created playlists,Knightmare Series 4 Episode 8
Paul,Youtube,"Uploaded on Oct 8, 2008",Created playlists,"Cloud Control - Death Cloud"" data-video-id=""IQsu1m_DuZ4"" data-set-video-id="""
Paul,Youtube,"Uploaded on Aug 13, 2006",Created playlists,"02-09-1911 Woolwich Arsenal 2 Liverpool 2"" data-video-id=""br5fIuCFsxo"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jun 10, 2006",Created playlists,"puppy"" data-video-id=""GCszBGz_E80"" data-set-video-id="""
Paul,Youtube,,Created playlists,"[Deleted video]"" data-video-id=""p2Nc1kvAF3A"" data-set-video-id="""
Paul,Youtube,"Published on Jun 7, 2012",Created playlists,Knightmare Series 4 Episode 9
Paul,Youtube,"Uploaded on Jun 3, 2007",Created playlists,"Outkast Feat. Killer Mike - The Whole World"" data-video-id=""p5UJjQt3bkM"" data-set-video-id="""
Paul,Youtube,,Created playlists,"[Deleted video]"" data-video-id=""Wpv01Yo1igA"" data-set-video-id="""
Paul,Youtube,,Created playlists,"[Deleted video]"" data-video-id=""rLdQ3UhLoD4"" data-set-video-id="""
Paul,Youtube,"Uploaded on Apr 3, 2006",Created playlists,"Apple Music Event 2001-The First Ever iPod Introduction"" data-video-id=""kN0SVBCJqLs"" data-set-video-id="""
Paul,Youtube,"Uploaded on Oct 31, 2008",Created playlists,"I&#39;m Old Gregg"" data-video-id=""cVIkxWSzm-I"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jan 10, 2007",Created playlists,"A Closer Look At The iPhone"" data-video-id=""YgW7or1TuFk"" data-set-video-id="""
Paul,Youtube,"Uploaded on Nov 30, 2006",Created playlists,"GTD"" data-video-id=""jcIkygt3G48"" data-set-video-id="""
Paul,Youtube,,Created playlists,"[Deleted video]"" data-video-id=""kvBiSW5QFKY"" data-set-video-id="""
Paul,Youtube,"Uploaded on Dec 17, 2006",Created playlists,"beatboxing flute super mario brothers theme"" data-video-id=""crfrKqFp0Zg"" data-set-video-id="""
