用户ID,服务ID,时间,行为,标记
Peter Lawrey,Stack Overflow,2017-03-02 19:32:30Z,awarded,Nice Answer
Peter Lawrey,Stack Overflow,2016-12-10 04:02:54Z,awarded,treemap
Peter Lawrey,Stack Overflow,2016-07-26 08:12:07Z,awarded,Peer Review
Peter Lawrey,Stack Overflow,2016-04-13 04:02:13Z,awarded,memory
Peter Lawrey,Stack Overflow,2016-03-08 04:06:35Z,awarded,arraylist
Peter Lawrey,Stack Overflow,2017-02-23 13:01:10Z,awarded,Good Answer
Peter Lawrey,Stack Overflow,2016-12-07 06:49:24Z,awarded,Necromancer
Peter Lawrey,Stack Overflow,2016-07-21 16:14:15Z,awarded,Backer
Peter Lawrey,Stack Overflow,2017-02-17 16:31:16Z,awarded,Announcer
Peter Lawrey,Stack Overflow,2016-03-04 09:40:50Z,awarded,bytecode
Peter Lawrey,Stack Overflow,2016-04-12 04:04:36Z,awarded,file-io
Peter Lawrey,Stack Overflow,2016-12-05 16:16:42Z,awarded,Revival
Peter Lawrey,Stack Overflow,2017-02-10 10:25:31Z,awarded,Enlightened
Peter Lawrey,Stack Overflow,2016-04-11 04:02:09Z,awarded,concurrency
Peter Lawrey,Stack Overflow,2016-03-04 03:03:14Z,awarded,bufferedreader
Peter Lawrey,Stack Overflow,2016-07-21 15:23:37Z,awarded,Educated
Peter Lawrey,Stack Overflow,2017-01-23 09:59:58Z,awarded,Nice Question
Peter Lawrey,Stack Overflow,2016-09-21 04:02:49Z,awarded,annotations
Peter Lawrey,Stack Overflow,2016-02-04 03:06:45Z,awarded,stream
Peter Lawrey,Stack Overflow,2016-04-11 04:02:09Z,awarded,biginteger
Peter Lawrey,Stack Overflow,2017-01-21 21:38:56Z,awarded,Yearling
Peter Lawrey,Stack Overflow,2016-09-20 04:05:31Z,awarded,logging
Peter Lawrey,Stack Overflow,2016-07-17 04:02:53Z,awarded,datetime
Peter Lawrey,Stack Overflow,2017-01-18 04:03:30Z,awarded,profiling
Peter Lawrey,Stack Overflow,2016-01-26 03:06:21Z,awarded,list
Peter Lawrey,Stack Overflow,2016-09-16 12:04:53Z,awarded,Populist
Peter Lawrey,Stack Overflow,2016-04-11 04:02:09Z,awarded,java.util.concurrent
Peter Lawrey,Stack Overflow,2016-01-18 03:06:07Z,awarded,random
Peter Lawrey,Stack Overflow,2016-06-20 04:02:59Z,awarded,comparator
Peter Lawrey,Stack Overflow,2017-01-15 11:41:42Z,awarded,Great Answer
Peter Lawrey,Stack Overflow,2016-09-07 04:02:14Z,awarded,database
Peter Lawrey,Stack Overflow,2016-04-10 14:04:35Z,awarded,Vox Populi
Peter Lawrey,Stack Overflow,2017-01-10 07:52:25Z,awarded,Guru
Peter Lawrey,Stack Overflow,2016-01-14 03:06:39Z,awarded,simpledateformat
Peter Lawrey,Stack Overflow,2016-09-02 04:03:19Z,awarded,pointers
Peter Lawrey,Stack Overflow,2015-12-12 03:10:01Z,awarded,equals
Peter Lawrey,Stack Overflow,2016-12-21 04:02:46Z,awarded,jar
Peter Lawrey,Stack Overflow,2016-04-10 13:31:32Z,awarded,java-8
Peter Lawrey,Stack Overflow,2016-08-02 04:03:59Z,awarded,file
Peter Lawrey,Stack Overflow,2016-03-20 04:02:10Z,awarded,java-stream
Peter Lawrey,Stack Overflow,2015-12-02 03:06:05Z,awarded,reference
Peter Lawrey,Stack Overflow,2016-06-12 04:03:13Z,awarded,char
Peter Lawrey,Stack Overflow,2015-11-18 03:06:16Z,awarded,switch-statement
Peter Lawrey,Stack Overflow,2016-06-07 14:51:59Z,awarded,Taxonomist
Peter Lawrey,Stack Overflow,2016-03-20 04:02:10Z,awarded,jvm
Peter Lawrey,Stack Overflow,2016-07-26 16:57:54Z,awarded,Incrementalist
Peter Lawrey,Stack Overflow,2016-05-25 06:31:25Z,awarded,Notable Question
Peter Lawrey,Stack Overflow,2016-03-09 04:04:38Z,awarded,immutability
Peter Lawrey,Stack Overflow,2016-05-11 20:30:44Z,awarded,Popular Question
Peter Lawrey,Stack Overflow,2016-05-06 04:02:48Z,awarded,date
Peter Lawrey,Stack Overflow,2015-11-09 22:07:34Z,awarded,Caucus
Peter Lawrey,Stack Overflow,2015-06-26 03:11:32Z,awarded,windows
Peter Lawrey,Stack Overflow,2015-04-03 03:09:19Z,awarded,junit
Peter Lawrey,Stack Overflow,2014-12-14 03:06:21Z,awarded,java-8
Peter Lawrey,Stack Overflow,2014-10-07 03:07:57Z,awarded,guava
Peter Lawrey,Stack Overflow,2015-11-09 03:05:47Z,awarded,hashcode
Peter Lawrey,Stack Overflow,2015-06-20 03:02:18Z,awarded,casting
Peter Lawrey,Stack Overflow,2015-02-25 03:09:58Z,awarded,design
Peter Lawrey,Stack Overflow,2015-06-17 03:17:12Z,awarded,parsing
Peter Lawrey,Stack Overflow,2015-02-14 03:09:33Z,awarded,string
Peter Lawrey,Stack Overflow,2014-12-10 03:06:29Z,awarded,exception-handling
Peter Lawrey,Stack Overflow,2015-10-24 03:06:01Z,awarded,type-conversion
Peter Lawrey,Stack Overflow,2015-06-05 03:12:59Z,awarded,binary
Peter Lawrey,Stack Overflow,2015-10-07 03:05:16Z,awarded,compression
Peter Lawrey,Stack Overflow,2014-12-09 03:08:32Z,awarded,bigdecimal
Peter Lawrey,Stack Overflow,2015-10-01 03:06:32Z,awarded,bytearray
Peter Lawrey,Stack Overflow,2014-09-30 19:36:15Z,awarded,Explainer
Peter Lawrey,Stack Overflow,2015-05-06 03:08:08Z,awarded,parallel-processing
Peter Lawrey,Stack Overflow,2014-12-07 03:06:59Z,awarded,comparison
Peter Lawrey,Stack Overflow,2014-09-24 20:37:44Z,awarded,Autobiographer
Peter Lawrey,Stack Overflow,2015-01-31 03:10:59Z,awarded,java-7
Peter Lawrey,Stack Overflow,2015-05-04 03:11:28Z,awarded,java.util.scanner
Peter Lawrey,Stack Overflow,2015-09-12 03:07:40Z,awarded,serialization
Peter Lawrey,Stack Overflow,2015-01-31 03:10:59Z,awarded,bit-manipulation
Peter Lawrey,Stack Overflow,2015-04-27 05:24:31Z,awarded,Stellar Question
Peter Lawrey,Stack Overflow,2014-11-30 03:07:33Z,awarded,inner-classes
Peter Lawrey,Stack Overflow,2015-09-04 03:05:03Z,awarded,lambda
Peter Lawrey,Stack Overflow,2014-08-23 21:04:04Z,awarded,Peer Pressure
Peter Lawrey,Stack Overflow,2014-11-05 03:06:22Z,awarded,executorservice
Peter Lawrey,Stack Overflow,2015-04-24 10:26:27Z,awarded,Good Question
Peter Lawrey,Stack Overflow,2015-01-30 16:20:58Z,awarded,Altruist
Peter Lawrey,Stack Overflow,2014-08-02 03:07:13Z,awarded,garbage-collection
Peter Lawrey,Stack Overflow,2015-04-22 03:09:56Z,awarded,maven
Peter Lawrey,Stack Overflow,2015-08-27 03:18:00Z,awarded,java-io
Peter Lawrey,Stack Overflow,2015-01-29 03:11:16Z,awarded,memory
Peter Lawrey,Stack Overflow,2015-04-17 03:09:50Z,awarded,double
Peter Lawrey,Stack Overflow,2015-08-10 03:08:49Z,awarded,operators
Peter Lawrey,Stack Overflow,2014-08-02 03:07:13Z,awarded,variables
Peter Lawrey,Stack Overflow,2015-01-26 13:22:38Z,awarded,Investor
Peter Lawrey,Stack Overflow,2015-08-09 03:13:49Z,awarded,jvm-hotspot
Peter Lawrey,Stack Overflow,2015-01-25 03:10:14Z,awarded,inputstream
Peter Lawrey,Stack Overflow,2014-07-11 03:10:43Z,awarded,arrays
Peter Lawrey,Stack Overflow,2014-10-18 03:06:45Z,awarded,compiler-construction
Peter Lawrey,Stack Overflow,2015-01-15 03:09:49Z,awarded,enums
Peter Lawrey,Stack Overflow,2014-10-16 03:06:04Z,awarded,hashmap
Peter Lawrey,Stack Overflow,2014-10-10 03:05:13Z,awarded,syntax
Peter Lawrey,Stack Overflow,2014-07-02 16:05:24Z,awarded,Curious
Peter Lawrey,Stack Overflow,2014-10-08 03:06:08Z,awarded,synchronized
Peter Lawrey,Stack Overflow,2014-07-02 03:09:15Z,awarded,nullpointerexception
Peter Lawrey,Stack Overflow,2014-06-26 03:10:19Z,awarded,compiler-errors
Peter Lawrey,Stack Overflow,2014-06-12 03:10:28Z,awarded,file-io
Peter Lawrey,Stack Overflow,2014-01-15 03:16:40Z,awarded,c++
Peter Lawrey,Stack Overflow,2013-07-31 03:03:44Z,awarded,set
Peter Lawrey,Stack Overflow,2013-03-18 03:03:11Z,awarded,linux
Peter Lawrey,Stack Overflow,2013-01-05 15:54:24Z,awarded,Famous Question
Peter Lawrey,Stack Overflow,2014-05-26 03:05:48Z,awarded,sockets
Peter Lawrey,Stack Overflow,2013-02-07 12:28:46Z,awarded,Reversal
Peter Lawrey,Stack Overflow,2013-07-28 03:06:30Z,awarded,memory-leaks
Peter Lawrey,Stack Overflow,2013-01-04 03:03:07Z,awarded,byte
Peter Lawrey,Stack Overflow,2014-01-15 03:16:40Z,awarded,intellij-idea
Peter Lawrey,Stack Overflow,2014-04-24 03:09:41Z,awarded,out-of-memory
Peter Lawrey,Stack Overflow,2013-01-04 03:03:07Z,awarded,sorting
Peter Lawrey,Stack Overflow,2013-07-26 03:03:49Z,awarded,collections
Peter Lawrey,Stack Overflow,2014-01-03 03:13:31Z,awarded,tcp
Peter Lawrey,Stack Overflow,2013-01-03 03:03:20Z,awarded,date
Peter Lawrey,Stack Overflow,2014-04-16 03:23:58Z,awarded,try-catch
Peter Lawrey,Stack Overflow,2013-02-04 03:02:55Z,awarded,generics
Peter Lawrey,Stack Overflow,2013-11-18 03:05:00Z,awarded,singleton
Peter Lawrey,Stack Overflow,2014-04-12 03:21:16Z,awarded,io
Peter Lawrey,Stack Overflow,2013-01-01 03:02:59Z,awarded,heap
Peter Lawrey,Stack Overflow,2013-02-02 03:03:25Z,awarded,for-loop
Peter Lawrey,Stack Overflow,2013-11-16 03:04:43Z,awarded,integer
Peter Lawrey,Stack Overflow,2013-01-01 03:02:59Z,awarded,loops
Peter Lawrey,Stack Overflow,2014-03-13 03:12:51Z,awarded,long-integer
Peter Lawrey,Stack Overflow,2013-10-25 03:04:38Z,awarded,int
Peter Lawrey,Stack Overflow,2013-01-31 03:04:02Z,awarded,caching
Peter Lawrey,Stack Overflow,2012-12-23 03:02:43Z,awarded,android
Peter Lawrey,Stack Overflow,2013-07-21 03:08:08Z,awarded,final
Peter Lawrey,Stack Overflow,2013-01-25 03:03:38Z,awarded,jvm
Peter Lawrey,Stack Overflow,2014-02-13 03:07:51Z,awarded,reflection
Peter Lawrey,Stack Overflow,2012-12-16 03:02:55Z,awarded,concurrency
Peter Lawrey,Stack Overflow,2013-10-21 03:04:11Z,awarded,threadpool
Peter Lawrey,Stack Overflow,2013-07-15 03:01:06Z,awarded,algorithm
Peter Lawrey,Stack Overflow,2014-02-13 03:07:51Z,awarded,scala
Peter Lawrey,Stack Overflow,2013-01-14 03:02:43Z,awarded,data-structures
Peter Lawrey,Stack Overflow,2013-07-13 03:05:01Z,awarded,constructor
Peter Lawrey,Stack Overflow,2012-12-14 03:03:10Z,awarded,casting
Peter Lawrey,Stack Overflow,2013-10-15 03:04:15Z,awarded,performance
Peter Lawrey,Stack Overflow,2013-01-11 03:02:56Z,awarded,boolean
Peter Lawrey,Stack Overflow,2014-02-11 03:07:11Z,awarded,time
Peter Lawrey,Stack Overflow,2013-06-26 03:04:02Z,awarded,eclipse
Peter Lawrey,Stack Overflow,2013-10-08 07:19:28Z,awarded,Great Question
Peter Lawrey,Stack Overflow,2013-01-10 17:03:40Z,awarded,Quorum
Peter Lawrey,Stack Overflow,2013-06-14 03:03:52Z,awarded,bytebuffer
Peter Lawrey,Stack Overflow,2013-09-14 03:04:10Z,awarded,iterator
Peter Lawrey,Stack Overflow,2012-12-13 03:03:21Z,awarded,object
Peter Lawrey,Stack Overflow,2013-01-09 03:02:54Z,awarded,if-statement
Peter Lawrey,Stack Overflow,2013-06-12 03:03:48Z,awarded,decimal
Peter Lawrey,Stack Overflow,2014-01-25 03:21:01Z,awarded,jni
Peter Lawrey,Stack Overflow,2013-04-28 03:07:27Z,awarded,types
Peter Lawrey,Stack Overflow,2012-11-26 03:02:37Z,awarded,map
