用户ID,服务ID,时间,行为,内容,转推,喜欢,回复,URL
Nick Craver,Twitter,上午6:04 - 2017年1月17日,喜欢,ERSATZ DEVLOPER 的 Twitter: “MORNIN”,0,2,2,https://twitter.com/jasonpunyon/status/821357584179400704
Nick Craver,Twitter,上午5:55 - 2017年1月7日,喜欢,ERSATZ DEVLOPER 的 Twitter: “MORNIN”,0,1,1,https://twitter.com/jasonpunyon/status/817731436405030912
Nick Craver,Twitter,上午3:36 - 2016年12月28日,喜欢,ERSATZ DEVLOPER 的 Twitter: “MORNIN”,0,1,1,https://twitter.com/jasonpunyon/status/814072611252686848
Nick Craver,Twitter,上午4:15 - 2016年12月21日,喜欢,ERSATZ DEVLOPER 的 Twitter: “MORNIN”,0,1,1,https://twitter.com/jasonpunyon/status/811545708641841152
Nick Craver,Twitter,下午7:03 - 2016年12月6日,喜欢,"The Practical Dev 的 Twitter: “That does it for a great hour of #devdiscuss, but feel free to keep chatting.&#10;&#10;Shout out to @Nick_Craver for some brilliant contributions. https://t.co/6Qv3BEQkfS”",0,22,2,https://twitter.com/thepracticaldev/status/806333240298635264
Nick Craver,Twitter,上午7:38 - 2017年1月16日,喜欢,ERSATZ DEVLOPER 的 Twitter: “MORNIN”,0,2,1,https://twitter.com/jasonpunyon/status/821018807376416769
Nick Craver,Twitter,上午5:20 - 2017年1月6日,喜欢,ERSATZ DEVLOPER 的 Twitter: “MORNIN”,0,1,1,https://twitter.com/jasonpunyon/status/817360135739899906
Nick Craver,Twitter,下午4:13 - 2016年12月27日,喜欢,Jon Galloway 的 Twitter: “How to tell you&#39;re running an old version of a software application in 2016:&#10;No Dark Theme option provided”,0,95,6,https://twitter.com/jongalloway/status/813900626249674752
Nick Craver,Twitter,下午10:56 - 2016年12月20日,喜欢,Jared Parsons 的 Twitter: “@davkean @terrajobst  can&#39;t set a precedent by introducing useful and performant features. :)”,0,2,1,https://twitter.com/jaredpar/status/811465428249649152
Nick Craver,Twitter,下午9:18 - 2016年12月3日,喜欢,Steven Taylor 的 Twitter: “@SwiftOnSecurity is https://t.co/71QiE8NUfX available?”,0,2,2,https://twitter.com/torch02/status/805279999368564736
