用户ID,服务ID,时间,行为,内容,转推,喜欢,URL
Nick Craver,Twitter,下午7:31 - 2017年2月17日,喜欢,David Fowler 的 Twitter: “@nick_craver nice!”,,2,https://twitter.com/davidfowl/status/832794539907698688
Nick Craver,Twitter,下午5:34 - 2017年1月28日,喜欢,"the grinding stovvve 的 Twitter: “@stevvve THANK YOU, GOVERNOR CUOMO! https://t.co/3nDQ3H0KAA”",2,15,https://twitter.com/stevvve/status/825517503258439680
Nick Craver,Twitter,上午10:13 - 2017年1月21日,喜欢,Miguel de Icaza 的 Twitter: “At the Boston WomensMarch https://t.co/ljivV4ydAF”,19,290,https://twitter.com/migueldeicaza/status/822869707892097025
Nick Craver,Twitter,下午4:36 - 2017年2月11日,喜欢,"David Fowler 的 Twitter: “Though sometimes when people give me bullshit estimates, then I have to send a PR”",1,11,https://twitter.com/davidfowl/status/830576328055283712
Nick Craver,Twitter,下午5:16 - 2017年1月28日,喜欢,the grinding stovvve 的 Twitter: “@stevvve sitting and waiting until they let us through https://t.co/PE4Qvyzr5v”,,7,https://twitter.com/stevvve/status/825512951083892737
Nick Craver,Twitter,上午3:02 - 2017年2月9日,喜欢,m0sa 的 Twitter: “@Nick_Craver MiniProfiler?https://t.co/zwudfui2wL”,,1,https://twitter.com/m0sa/status/829646599143964672
Nick Craver,Twitter,下午5:13 - 2017年1月28日,喜欢,the grinding stovvve 的 Twitter: “FYI to anyone heading to JFK for the protest: police are blocking access via the Airtrain https://t.co/Hvlsk26Dvl”,6,10,https://twitter.com/stevvve/status/825512143256711168
Nick Craver,Twitter,下午2:12 - 2017年2月7日,喜欢,Paul Irish 的 Twitter: “📊 View your server&#39;s metrics in @ChromeDevTools via Server Timing headers. Big thanks to longtime Firebug developer @sroussey for the patch! https://t.co/OjDDIv0lLR”,596,"1,116",https://twitter.com/paul_irish/status/829090506084749312
Nick Craver,Twitter,下午1:53 - 2017年1月28日,喜欢,Sebastian Meyer 的 Twitter: “Lawyers drafting habeas petition in Terminal 1 at #JFK right now for Iranian and Yemeni detainees https://t.co/REDvh8NoXE”,"2,796","4,886",https://twitter.com/sebphoto/status/825461886607056897
Nick Craver,Twitter,下午6:54 - 2017年2月8日,喜欢,"Roberta Arcoverde 的 Twitter: “Thanks for everything, NY friends. I&#39;ll miss you to bits. Specially you, cookie jar https://t.co/QNEmaboNcX”",,16,https://twitter.com/rla4/status/829523918780239872
Nick Craver,Twitter,下午5:41 - 2017年1月23日,喜欢,Damian Edwards 的 Twitter: “@Nick_Craver this is a I&#39;m not that kind of nerd thing”,,2,https://twitter.com/damianedwards/status/823707246823514112
Nick Craver,Twitter,上午1:03 - 2017年2月8日,喜欢,Salvatore Sanfilippo 的 Twitter: “Potential Redis 4.2 roadmap: https://t.co/WNzEq6Tgpu”,20,30,https://twitter.com/antirez/status/829254279038955521
Nick Craver,Twitter,上午8:31 - 2017年1月23日,喜欢,ERSATZ DEVLOPER 的 Twitter: “MORNIN”,,3,https://twitter.com/jasonpunyon/status/823568851149455360
Nick Craver,Twitter,下午11:16 - 2017年2月1日,喜欢,David Kean 的 Twitter: “Just hit my 1000th issue filed on GitHub: https://t.co/g06ucnAZkr. Who&#39;d thought 2 years ago that most of my Microsoft job was spent on OSS?”,10,51,https://twitter.com/davkean/status/827053056416100352
Nick Craver,Twitter,下午3:13 - 2017年1月22日,喜欢,Immo Landwerth 的 Twitter: “@martinwoodward filed. https://t.co/vXA0QLk8x7”,3,13,https://twitter.com/terrajobst/status/823307729636761601
Nick Craver,Twitter,下午7:05 - 2017年1月30日,喜欢,Geoff Dalgas 的 Twitter: “@Nick_Craver that is not camping”,,5,https://twitter.com/superdalgas/status/826265022531670016
Nick Craver,Twitter,上午9:08 - 2017年1月22日,喜欢,ERSATZ DEVLOPER 的 Twitter: “MORNIN”,,1,https://twitter.com/jasonpunyon/status/823215890221109252
Nick Craver,Twitter,下午2:12 - 2017年1月29日,喜欢,"Damian Edwards 的 Twitter: “If you&#39;re matching @ACLU donations, have at it. Give what you can. https://t.co/a3fh9pb01Z”",3,37,https://twitter.com/damianedwards/status/825828993131687938
Nick Craver,Twitter,下午1:08 - 2017年1月21日,喜欢,"bluefeet 的 Twitter: “They anticipated 5k in Phx today. Nope, about 20k+ marched.  It was amazing https://t.co/5s7ibwNISI”",4,15,https://twitter.com/onlybluefeet/status/822913839066845184
Nick Craver,Twitter,下午1:13 - 2017年1月29日,喜欢,Immo Landwerth 的 Twitter: “@Nick_Craver your catapult failed spectacularly. Disappointed.”,,8,https://twitter.com/terrajobst/status/825814025380388864
Nick Craver,Twitter,下午12:01 - 2017年1月21日,喜欢,RiotGradius 的 Twitter: “@Nick_Craver you are my favorite kind of person :D”,,2,https://twitter.com/0xgradius/status/822897031806996480
