用户ID,服务ID,时间,行为,内容,转推,喜欢,回复,URL,类型
Holger,Twitter,下午1:12 - 2015年12月30日,media,"Holger Just 的 Twitter: “Goodbye Hamburg, goodbye #32c3. It was a blast! https://t.co/EczTwkEkWy”",0,1,1,https://twitter.com/meineerde/status/682308263795388416,Media
Holger,Twitter,上午1:26 - 2015年6月23日,media,Holger Just 的 Twitter: “@krono You mean like https://t.co/xa6ro0RLRG ?”,0,,1,https://twitter.com/meineerde/status/613261864328392704,Media
Holger,Twitter,上午4:54 - 2014年12月19日,media,"Holger Just 的 Twitter: “Yay, I’ve got a hedgehog! Thanks @nadrosia http://t.co/XRECRFNYJc”",0,,,https://twitter.com/meineerde/status/545925152446611456,Media
Holger,Twitter,上午5:16 - 2014年3月25日,media,Holger Just 的 Twitter: “Current @LAUNCH_CO status #lunchco http://t.co/TOHYWYadIf”,0,2,1,https://twitter.com/meineerde/status/448433268757921792,Media
Holger,Twitter,上午6:17 - 2013年9月7日,media,Holger Just 的 Twitter: “Macht euch keine Sorgen… #FSA13 http://t.co/m8HHf7GaZM”,0,2,3,https://twitter.com/meineerde/status/376333294591549440,Media
Holger,Twitter,下午4:58 - 2015年12月28日,media,"Holger Just 的 Twitter: “#32c3 service and awareness phone numbers. Call these numbers, ask me or your fellow humans if you need any support. https://t.co/BIwqYVD7m4”",0,,1,https://twitter.com/meineerde/status/681640330962288641,Media
Holger,Twitter,上午11:02 - 2014年12月18日,media,Holger Just 的 Twitter: “Current status: http://t.co/RrnEyPQNl3”,0,1,1,https://twitter.com/meineerde/status/545655481105399808,Media
Holger,Twitter,下午11:34 - 2015年6月8日,media,Holger Just 的 Twitter: “Current status: http://t.co/kZWstwGXEw”,0,,2,https://twitter.com/meineerde/status/608160235648335874,Media
Holger,Twitter,上午4:53 - 2014年11月11日,media,Holger Just 的 Twitter: “Current status: http://t.co/NkDb6HwB0m”,0,1,2,https://twitter.com/meineerde/status/532154074356260864,Media
Holger,Twitter,上午12:32 - 2014年2月28日,media,Holger Just 的 Twitter: “Current @LAUNCH_CO office status. http://t.co/gfSVge8FMQ”,0,3,2,https://twitter.com/meineerde/status/439317283589353472,Media
Holger,Twitter,上午3:25 - 2015年12月27日,media,"Holger Just 的 Twitter: “Newcomers, not Refugees. #32c3 https://t.co/eUwbltBKik”",0,7,8,https://twitter.com/meineerde/status/681073409573437440,Media
Holger,Twitter,下午11:55 - 2014年9月11日,media,Holger Just 的 Twitter: “Current status: http://t.co/jD39MNGU6d”,0,1,1,https://twitter.com/meineerde/status/510320770372108288,Media
Holger,Twitter,上午6:07 - 2014年2月15日,media,Holger Just 的 Twitter: “Göttliche Gemüsepaste von der göttlichen Anja. Mjam! http://t.co/fciNDsFPbB”,0,3,1,https://twitter.com/meineerde/status/434690500558610432,Media
Holger,Twitter,上午12:01 - 2015年12月27日,media,Holger Just 的 Twitter: “Arrived at the CCH with the Fairydust already present. #32c3 https://t.co/K78aW9lfjJ”,0,1,1,https://twitter.com/meineerde/status/681021963872120832,Media
Holger,Twitter,上午3:19 - 2015年5月21日,media,Holger Just 的 Twitter: “Current status: http://t.co/zMhzBFBgLC”,0,3,3,https://twitter.com/meineerde/status/601331588874543104,Media
Holger,Twitter,上午6:03 - 2014年2月8日,media,Holger Just 的 Twitter: “#friedrichshain http://t.co/GFyNKQeoTO”,0,2,2,https://twitter.com/meineerde/status/432152695819218944,Media
Holger,Twitter,下午11:05 - 2015年4月16日,media,Holger Just 的 Twitter: “@fleazpulli See also: http://t.co/mZ33xzZnge /cc @thegcat”,0,,,https://twitter.com/meineerde/status/588946449813078016,Media
Holger,Twitter,上午5:43 - 2013年9月7日,media,Holger Just 的 Twitter: “#FSA13 http://t.co/0h95ZWTbXE”,0,3,1,https://twitter.com/meineerde/status/376324744318300160,Media
Holger,Twitter,上午4:01 - 2014年8月29日,media,Holger Just 的 Twitter: “Current @LAUNCH_CO status: http://t.co/6qnAhCmXVA”,0,,1,https://twitter.com/meineerde/status/505309279851921408,Media
Holger,Twitter,下午12:28 - 2015年2月28日,media,"Holger Just 的 Twitter: “Bratkartoffeln, eine hervorragende Kaisersülze und gemischter Salat @ bei uns zu Haus #omnomnom http://t.co/fk9ZGf75wa”",0,1,1,https://twitter.com/meineerde/status/571768911164809216,Media
Holger,Twitter,上午4:05 - 2013年8月9日,media,Holger Just 的 Twitter: “Current office status: http://t.co/Wg15qIhYvZ”,0,,,https://twitter.com/meineerde/status/365790929786908672,Media
Holger,Twitter,上午5:08 - 2014年7月17日,media,Holger Just 的 Twitter: “Ein Einhuhn. Toll!&#10;&#10;(selbstverständlich von der großartigen @nadrosia) http://t.co/eJu7ES95hy”,0,3,1,https://twitter.com/meineerde/status/489743424846061569,Media
Holger,Twitter,上午7:09 - 2015年2月6日,media,Holger Just 的 Twitter: “A great award from the awesome @nadrosia for helping improve our coffee situation. And I’m just happy for gr8 coffee. http://t.co/uqErwE7PDA”,0,3,1,https://twitter.com/meineerde/status/563716130557030402,Media
Holger,Twitter,上午5:17 - 2015年12月10日,media,Holger Just 的 Twitter: “&gt; Cogent Communications Sues Deutsche Telekom for Congesting Internet Connections&#10;&#10;https://t.co/Gk4JscKRdA https://t.co/ihXceDCcs0”,0,,1,https://twitter.com/meineerde/status/674940916579352576,Media
Holger,Twitter,上午5:46 - 2014年1月28日,media,Holger Just 的 Twitter: “Der Chef ist im Urlaub aber sendet Mittag um die halbe Welt. Das ist Arbeiten bei @Planio \o/ Danke @jan. http://t.co/IvpCmd4WVX”,0,8,2,https://twitter.com/meineerde/status/428162096027553794,Media
Holger,Twitter,下午12:59 - 2015年1月20日,media,Holger Just 的 Twitter: “Look what I found at the Burgermeister in Kreuzberg. http://t.co/HPEvh8ihQR”,0,1,1,https://twitter.com/meineerde/status/557643513966649346,Media
Holger,Twitter,上午1:16 - 2015年11月14日,media,Holger Just 的 Twitter: “Fear is the path to the dark side. Fear leads to anger. Anger leads to hate. Hate leads to suffering… ~Yoda https://t.co/8KvpeXWsUk”,0,3,4,https://twitter.com/meineerde/status/665458200205008897,Media
Holger,Twitter,上午3:37 - 2013年12月6日,media,Holger Just 的 Twitter: “Hmmmmm Waffles… @LAUNCH_CO http://t.co/Ar1W4gk6pM”,0,4,1,https://twitter.com/meineerde/status/408923095756734465,Media
Holger,Twitter,上午5:54 - 2013年7月1日,media,"Holger Just 的 Twitter: “Reach high, little kitty... http://t.co/ppj7H9bzrR”",0,,,https://twitter.com/meineerde/status/351685116671705088,Media
