用户ID,服务ID,时间,行为,内容,转推,喜欢,URL
Holger,Twitter,上午5:12 - 2016年6月18日,media,Holger Just 的 Twitter: “… sagte seine Eule &lt;3 #Friedrichshain https://t.co/BhV9Tobo8f”,0,1,https://twitter.com/meineerde/status/744140627802198016
Holger,Twitter,上午6:33 - 2017年5月20日,media,Holger Just 的 Twitter: “Gelungener Saisonabschluss in Babelsberg. #yalla #svb https://t.co/BYRXOSVwsH”,0,1,https://twitter.com/meineerde/status/865923498686001152
Holger,Twitter,上午9:16 - 2017年3月10日,media,Holger Just 的 Twitter: “@moeffju https://t.co/Jr5cowhpK4”,0,0,https://twitter.com/meineerde/status/840250141776965632
Holger,Twitter,上午1:24 - 2016年5月22日,media,"Holger Just 的 Twitter: “@klimpong Just to confirm, this is the original tweet https://t.co/eSsxkD0Jk3”",0,2,https://twitter.com/meineerde/status/734298790384009216
Holger,Twitter,下午12:17 - 2017年2月16日,media,Holger Just 的 Twitter: “Wohnungssuche in Berlin Friedrichshain: https://t.co/eMmOEXYOC2”,0,0,https://twitter.com/meineerde/status/832322958395899907
Holger,Twitter,上午4:38 - 2016年5月12日,media,Holger Just 的 Twitter: “Long lived git branches are to be avoided at all costs? Maybe not always… https://t.co/W7goTSoMHF https://t.co/7ELkpNrUa0”,,3,https://twitter.com/meineerde/status/730723739634126849
Holger,Twitter,上午5:58 - 2016年11月9日,media,Holger Just 的 Twitter: “Today is one of those days again. https://t.co/AlrtXPv69e”,0,0,https://twitter.com/meineerde/status/796351352830099457
Holger,Twitter,上午7:18 - 2016年4月22日,media,Holger Just 的 Twitter: “Look what came in the mail by the lovely @ubernauten! 🚀👾 https://t.co/jhkeCSX3tU”,0,4,https://twitter.com/meineerde/status/723516432680652800
Holger,Twitter,上午7:28 - 2016年10月21日,media,Holger Just 的 Twitter: “Almost 20 years ago. https://t.co/IvLpNey7Mj #technofriday”,0,0,https://twitter.com/meineerde/status/789473522473205760
Holger,Twitter,上午10:52 - 2016年4月18日,media,Holger Just 的 Twitter: “FWIW I generally prefer the terms primary/secondary. Leader/follower is fine too. https://t.co/kccuGeVhm8”,0,0,https://twitter.com/meineerde/status/722120654766632960
Holger,Twitter,上午7:25 - 2016年10月21日,media,Holger Just 的 Twitter: “Current @LAUNCH_CO status: https://t.co/JK6hIci5Zp #technofriday”,0,0,https://twitter.com/meineerde/status/789472619611447296
Holger,Twitter,上午11:19 - 2016年3月19日,media,Holger Just 的 Twitter: “And they were able to even exceed them. The best dogs I ever had! https://t.co/XzI4awq5mY”,0,0,https://twitter.com/meineerde/status/711255746843951104
Holger,Twitter,上午2:40 - 2016年9月28日,media,"Holger Just 的 Twitter: “Dear @Dominos_DE, could you fucking not? https://t.co/dEMXWha8xk”",0,0,https://twitter.com/meineerde/status/781065991937720320
Holger,Twitter,上午10:32 - 2016年3月19日,media,Holger Just 的 Twitter: “About to have my first gourmet hot dog by a Michelin-starred chef at @TheFatDogs. Expectations are incredibly high. https://t.co/GbMmCeLwzb”,0,0,https://twitter.com/meineerde/status/711244056169414656
Holger,Twitter,上午3:29 - 2016年9月18日,media,Holger Just 的 Twitter: “Current status: #agh16 https://t.co/fbIGCetmCq”,0,3,https://twitter.com/meineerde/status/777454563611799552
Holger,Twitter,下午1:13 - 2016年2月24日,media,Holger Just 的 Twitter: “Current Korean table grill status https://t.co/cYUUdE8UMX”,0,0,https://twitter.com/meineerde/status/702602280055533568
Holger,Twitter,上午2:26 - 2016年7月23日,media,Holger Just 的 Twitter: “Today in sexistische Kackscheiße: Gender-Müsli. #rosa #hellblau https://t.co/wBRHOB38ht”,0,1,https://twitter.com/meineerde/status/756782553273696256
Holger,Twitter,上午11:49 - 2016年1月26日,media,Holger Just 的 Twitter: “@Argorak https://t.co/E8dHz0Qs7n”,0,6,https://twitter.com/meineerde/status/692071844048998400
Holger,Twitter,上午4:31 - 2016年7月3日,media,Holger Just 的 Twitter: “Repräsentativer Rückblick auf gestern Abend. https://t.co/OAZDRt5Dhk”,0,2,https://twitter.com/meineerde/status/749566261315731456
Holger,Twitter,上午2:28 - 2016年1月13日,media,Holger Just 的 Twitter: “Current @LAUNCH_CO status https://t.co/iMrABvMV1u”,,1,https://twitter.com/meineerde/status/687219622584647680
