用户ID,服务ID,时间,内容,回复,转推,喜欢,URL
Nick Craver,Twitter,,"Nick Craver 的 Twitter: “You’re willing to tolerate bad things about your stuff way more than others&#39;. API structure, documentation, SQL formatting, kids, etc.”",0,0,9,https://twitter.com/nick_craver/status/835497139820249088
Nick Craver,Twitter,,"Nick Craver 的 Twitter: “@kevindente The exceptions contain a lot in the info string, as well as .Data if you happen to be logging it (Exceptional does), example: https://t.co/LhWB9eKOEU”",0,0,0,https://twitter.com/nick_craver/status/835212589697220608
Nick Craver,Twitter,,Nick Craver 的 Twitter: “@jlangr hey now”,0,0,18,https://twitter.com/nick_craver/status/835185001587216385
Nick Craver,Twitter,,"Nick Craver 的 Twitter: “Anyone else seeing severe stalls, freezing, and some black screens with latest @ParallelsMac? I’m on 12.1.3 and it’s often totally unusable.”",0,0,1,https://twitter.com/nick_craver/status/835327799472885762
Nick Craver,Twitter,,Nick Craver 的 Twitter: “@marcgravell damn straight you do!”,0,0,14,https://twitter.com/nick_craver/status/835211941400412160
Nick Craver,Twitter,,"Nick Craver 的 Twitter: “@ryancei Home, data center? Port count? Cost or perf? Microbursting an issue? Lots of factors :)”",0,0,0,https://twitter.com/nick_craver/status/835310270998269952
Nick Craver,Twitter,,Nick Craver 的 Twitter: “@kevindente happy to hop on a hangout in a bit and help if that&#39;d be of use - about done here for the day”,0,0,0,https://twitter.com/nick_craver/status/835211836135981056
Nick Craver,Twitter,,Nick Craver 的 Twitter: “@onovotny :(”,0,0,0,https://twitter.com/nick_craver/status/835301582698868736
Nick Craver,Twitter,,"Nick Craver 的 Twitter: “@kevindente I have no idea what you&#39;re talking about, you can prove nothing!”",0,0,0,https://twitter.com/nick_craver/status/835209416114909184
Nick Craver,Twitter,,Nick Craver 的 Twitter: “Held it together until the candles. https://t.co/vuBbJwGn1R”,0,0,7,https://twitter.com/nick_craver/status/835299482157871104
Nick Craver,Twitter,,Nick Craver 的 Twitter: “@kevindente Here ya go: https://t.co/ol1NNg957t”,0,0,0,https://twitter.com/nick_craver/status/835208835660988417
Nick Craver,Twitter,,Nick Craver 的 Twitter: “.@SwiftOnSecurity Also known as &quot;how to get Twitter passwords for an obscenely high percentage of users&quot;”,0,0,690,https://twitter.com/nick_craver/status/835288577160409088
Nick Craver,Twitter,,"Nick Craver 的 Twitter: “@kevindente Hmm, they should be here: https://t.co/DANuDMLYk6 ...I&#39;ll fix that tonight. Quick link: https://t.co/cSSlKSphQC”",,0,0,https://twitter.com/nick_craver/status/835203968947077120
Nick Craver,Twitter,,"SwiftOnSecurity 的 Twitter: “New rule:&#10;If you ask me to sign-in to your site with Twitter, then ask me to make an account and password, I hope your web server dies.”",0,0,690,https://twitter.com/swiftonsecurity/status/835286297052856321
Nick Craver,Twitter,,"Nick Craver 的 Twitter: “Engineering conundrums:&#10;Do I make this a flow chart, or a text- based choice navigation game?”",0,0,7,https://twitter.com/nick_craver/status/835198310042517504
Nick Craver,Twitter,,Nick Craver 的 Twitter: “This just keeps getting better: https://t.co/fuJtrIapD2”,0,0,8,https://twitter.com/nick_craver/status/835247029076934660
Nick Craver,Twitter,,"Nick Craver 的 Twitter: “@woodburysoft @spolsky If you&#39;re looking to cause a riot, just throw semicolons on that discussion.”",0,0,18,https://twitter.com/nick_craver/status/835186077208088576
Nick Craver,Twitter,1487945996,Andy Wingo 的 Twitter: “hahahahahahahahahahahaha they added a test for the shattered.io vuln to webkit and it broke git :-) https://t.co/GGvbYYAvf8 https://t.co/lPNptlFeH5”,0,0,997,https://twitter.com/andywingo/status/835132154749272064
Nick Craver,Twitter,,Nick Craver 的 Twitter: “.@woodburysoft @spolsky They aren&#39;t optional in Razor...”,,0,18,https://twitter.com/nick_craver/status/835185569353383940
Nick Craver,Twitter,,Nick Craver 的 Twitter: “@kevindente 11 miles in for the day - grabbing a quick shower and let&#39;s see if I can help a bit while a SQL load transfers”,0,0,0,https://twitter.com/nick_craver/status/835212768261390337
Nick Craver,Twitter,,Nick Craver 的 Twitter: “Related: when I change hundreds of lines in hundreds of files and it compiles and works the first try...still scares the crap out of me.”,0,0,18,https://twitter.com/nick_craver/status/835185220433379328
