用户ID,服务ID,时间,行为,title,内容
Steven,Stack Overflow,2017-03-14 19:28:06Z,revised,"Make sure that the controller has a parameterless public constructor, Microsoft Unity can not resolve parameters",added 27 characters in body
Steven,Stack Overflow,2017-03-10 06:36:58Z,revised,How does constructor dependency injection work?,added 12 characters in body
Steven,Stack Overflow,2017-03-06 11:58:18Z,revised,How to defer execution of injected services in mvc controllers,link added
Steven,Stack Overflow,2017-02-25 13:08:57Z,revised,Using a Strategy and Factory Pattern with Dependency Injection,added 89 characters in body
Steven,Stack Overflow,2017-02-13 15:03:19Z,revised,Repository pattern with generics and DI,deleted 1 character in body
Steven,Stack Overflow,2017-03-14 19:20:59Z,revised,Trying to create Interface with a method that uses a dynamic or anonymous type but an implementation that uses another,added 18 characters in body
Steven,Stack Overflow,2017-03-10 06:35:10Z,revised,Simple Injector: The supplied type QaCommandHandler contains unresolvable type arguments,edited body
Steven,Stack Overflow,2017-03-03 22:34:36Z,revised,Is resolving a service in Startup.cs a service locator pattern?,deleted 22 characters in body
Steven,Stack Overflow,2017-02-24 08:02:36Z,revised,Registering decorators with primitive configuration dependencies in Simple Injector,edited title
Steven,Stack Overflow,2017-02-13 07:45:13Z,revised,Simple Injector with several bounded DbContexts - exception &ldquo;IDbContext has already been registered&rdquo;,deleted 8 characters in body
Steven,Stack Overflow,2017-03-13 16:57:08Z,revised,"RegisterPerWebRequest is obsolete, can I use Lifestyle.Scoped?",edited title
Steven,Stack Overflow,2017-03-09 09:01:04Z,revised,Does registration location differ for Simple Injector in ASP.NET Core MVC?,deleted 3 characters in body; edited title
Steven,Stack Overflow,2017-03-03 07:19:56Z,revised,OWIN Middleware + Web API + Simple Injector,added 1 character in body; edited title
Steven,Stack Overflow,2017-02-22 13:09:50Z,revised,adding generic services in asp.net core DI,deleted 1 character in body
Steven,Stack Overflow,2017-02-13 07:44:29Z,revised,Simple Injector with several bounded DbContexts - exception &ldquo;IDbContext has already been registered&rdquo;,added 7 characters in body
Steven,Stack Overflow,2017-03-12 21:23:05Z,revised,.NET Dependency Injection Auto-Registration vs Performance,edited title
Steven,Stack Overflow,2017-03-09 03:42:31Z,revised,Simple Injector&#39;s Lifestyle as Caching Solution,edited title
Steven,Stack Overflow,2017-03-03 05:52:17Z,revised,How to do constructor injection in Simple Injector if constructor takes another interface?,added 15 characters in body
Steven,Stack Overflow,2017-02-21 11:58:35Z,revised,Installing a new middleware at runtime in ASP.Net Core,deleted 2 characters in body
Steven,Stack Overflow,2017-02-09 16:15:34Z,revised,Configure Simple Injector to inject current authenticated user,deleted 10 characters in body
Steven,Stack Overflow,2017-03-12 10:41:48Z,revised,Register type per lifetime of another object,Text and code reformatted
Steven,Stack Overflow,2017-03-02 17:52:13Z,revised,How to do constructor injection in Simple Injector if constructor takes another interface?,added 14 characters in body; edited tags
Steven,Stack Overflow,2017-03-09 03:03:29Z,revised,Simple Injector&#39;s Lifestyle as Caching Solution,added 10 characters in body; added 49 characters in body
Steven,Stack Overflow,2017-02-09 13:50:50Z,revised,"I have 3 classes(A, B and C), C is like a POJO. I want set data from A to C and get at B. How the easier way to do that without a framework?",added 108 characters in body
Steven,Stack Overflow,2017-03-12 10:34:26Z,revised,Bootstrapping a list of concretes using Simple Injector,added 1 character in body; edited tags; edited title
Steven,Stack Overflow,2017-02-20 15:43:51Z,revised,How to configure restrictions with Unity dependency injection?,added 10 characters in body
Steven,Stack Overflow,2017-03-02 17:04:40Z,revised,Simple Injector Prevent Locked Container,deleted 59 characters in body; edited tags; edited title
Steven,Stack Overflow,2017-03-08 13:07:14Z,revised,Dependency Injection and development productivity,Code reformatted
Steven,Stack Overflow,2017-02-09 11:41:56Z,revised,Calling constructor for Unity injected class,deleted 14 characters in body
Steven,Stack Overflow,2017-03-11 12:41:32Z,revised,DryIoC - Specifying some constructor parameters at resolve time,added 65 characters in body
Steven,Stack Overflow,2017-02-17 12:45:16Z,revised,Getting rid of the ServiceLocator in the base class,added 107 characters in body
Steven,Stack Overflow,2017-03-01 19:18:53Z,revised,Simple Injector container can&#39;t resolve dependency,added 4 characters in body
Steven,Stack Overflow,2017-03-08 13:03:41Z,revised,Dependency Injection and development productivity,edited tags
Steven,Stack Overflow,2017-02-08 15:11:00Z,revised,With lifestyle to use for Console Application?,added 100 characters in body
Steven,Stack Overflow,2017-03-10 11:09:37Z,revised,How to resolve class with constructor that has List&lt;T&gt; parameter?,Code formatting and exception message formatting fixed
Steven,Stack Overflow,2017-02-17 10:29:28Z,revised,Getting rid of the ServiceLocator in the base class,deleted 41 characters in body
